# klaverjas spoor; spellen=200; zaad=6
13;2;2;2;3;9;36
13;2;3;1;3;V;38
13;3;0;4;0;V;62
13;3;1;3;0;H;40
13;3;2;2;0;T;6
13;3;3;1;0;A;46
13;4;0;3;1;T;9
13;4;1;4;1;8;40
13;4;2;1;1;A;36
13;4;3;2;1;B;3
13;5;0;3;2;V;5
13;5;1;4;3;B;65
13;5;2;1;2;B;23
13;5;3;2;2;8;32
13;6;0;4;0;B;9
13;6;1;3;2;7;53
13;6;2;2;2;H;68
13;6;3;1;0;7;3
13;7;0;4;0;9;9
13;7;1;3;2;T;53
13;7;2;2;1;V;53
13;7;3;1;0;8;38
13;8;0;2;1;H;8
13;8;1;3;1;9;40
13;8;2;4;1;7;36
13;8;3;1;2;A;53
13;=;3;51;101;20;10
14;1;0;1;2;7;1
14;1;1;4;2;T;40
14;1;2;3;2;A;6
14;1;3;2;1;7;29
14;2;0;4;0;A;9
14;2;1;3;0;9;40
14;2;2;2;0;7;4
14;2;3;1;0;V;3
14;3;0;2;1;T;7
14;3;1;3;1;A;42
14;3;2;4;1;B;6
14;3;3;1;3;7;53
14;4;0;2;1;H;5
14;4;1;3;1;9;40
14;4;2;4;1;8;36
14;4;3;1;0;H;68
14;5;0;3;2;H;7
14;5;1;4;2;B;40
14;5;2;1;2;V;4
14;5;3;2;0;B;53
14;6;0;1;3;A;7
14;6;1;4;3;9;40
14;6;2;3;3;B;36
14;6;3;2;3;V;3
14;7;0;3;2;9;9
14;7;1;4;3;8;53
14;7;2;1;2;8;36
14;7;3;2;3;T;53
14;8;0;1;3;H;8
14;8;1;4;0;8;53
14;8;2;3;1;V;35
14;8;3;2;0;T;53
14;=;1;76;76;30;0
15;1;0;2;0;9;7
15;1;1;3;0;8;40
15;1;2;4;3;H;69
